mature read count	mature miRBase miRNA
2	hsa-miR-548al_MIMAT0019024_Homo_sapiens_miR-548al
1	hsa-miR-4804-5p_MIMAT0019984_Homo_sapiens_miR-4804-5p
1	hsa-miR-3944-5p_MIMAT0019231_Homo_sapiens_miR-3944-5p
1	hsa-miR-3138_MIMAT0015006_Homo_sapiens_miR-3138
2	hsa-miR-5006-5p_MIMAT0021033_Homo_sapiens_miR-5006-5p
2	hsa-miR-7848-3p_MIMAT0030423_Homo_sapiens_miR-7848-3p
4	hsa-miR-3613-5p_MIMAT0017990_Homo_sapiens_miR-3613-5p
2	hsa-miR-7-5p_MIMAT0000252_Homo_sapiens_miR-7-5p
3	hsa-miR-365a-5p_MIMAT0009199_Homo_sapiens_miR-365a-5p
1	hsa-miR-1266-5p_MIMAT0005920_Homo_sapiens_miR-1266-5p
1	hsa-miR-6503-5p_MIMAT0025462_Homo_sapiens_miR-6503-5p
1	hsa-miR-3691-5p_MIMAT0018120_Homo_sapiens_miR-3691-5p
1	hsa-miR-3190-5p_MIMAT0015073_Homo_sapiens_miR-3190-5p
2	hsa-miR-2278_MIMAT0011778_Homo_sapiens_miR-2278
10	hsa-miR-1226-5p_MIMAT0005576_Homo_sapiens_miR-1226-5p
1	hsa-miR-4676-5p_MIMAT0019758_Homo_sapiens_miR-4676-5p
2	hsa-miR-4659a-5p_MIMAT0019726_Homo_sapiens_miR-4659a-5p
1	hsa-miR-200c-5p_MIMAT0004657_Homo_sapiens_miR-200c-5p
1	hsa-miR-3202_MIMAT0015089_Homo_sapiens_miR-3202
1	hsa-miR-7849-3p_MIMAT0030424_Homo_sapiens_miR-7849-3p
1	hsa-miR-3677-5p_MIMAT0019221_Homo_sapiens_miR-3677-5p
1	hsa-miR-4755-5p_MIMAT0019895_Homo_sapiens_miR-4755-5p
14	hsa-miR-4435_MIMAT0018951_Homo_sapiens_miR-4435
1	hsa-miR-3163_MIMAT0015037_Homo_sapiens_miR-3163
1	hsa-miR-1271-5p_MIMAT0005796_Homo_sapiens_miR-1271-5p
3	hsa-miR-190a-5p_MIMAT0000458_Homo_sapiens_miR-190a-5p
1	hsa-miR-2277-5p_MIMAT0017352_Homo_sapiens_miR-2277-5p
1	hsa-miR-4511_MIMAT0019048_Homo_sapiens_miR-4511
1	hsa-miR-4695-5p_MIMAT0019788_Homo_sapiens_miR-4695-5p
1	hsa-miR-627-5p_MIMAT0003296_Homo_sapiens_miR-627-5p
28	hsa-miR-296-5p_MIMAT0000690_Homo_sapiens_miR-296-5p
1	hsa-miR-4714-5p_MIMAT0019822_Homo_sapiens_miR-4714-5p
1	hsa-miR-4489_MIMAT0019023_Homo_sapiens_miR-4489
2	hsa-miR-548e-5p_MIMAT0026736_Homo_sapiens_miR-548e-5p
2	hsa-miR-188-5p_MIMAT0000457_Homo_sapiens_miR-188-5p
1	hsa-miR-499a-5p_MIMAT0002870_Homo_sapiens_miR-499a-5p
2	hsa-miR-3135a_MIMAT0015001_Homo_sapiens_miR-3135a
1	hsa-miR-195-5p_MIMAT0000461_Homo_sapiens_miR-195-5p
1	hsa-miR-493-5p_MIMAT0002813_Homo_sapiens_miR-493-5p
1	hsa-miR-503-5p_MIMAT0002874_Homo_sapiens_miR-503-5p
2	hsa-miR-497-5p_MIMAT0002820_Homo_sapiens_miR-497-5p
1	hsa-miR-6509-5p_MIMAT0025474_Homo_sapiens_miR-6509-5p
1	hsa-miR-6750-5p_MIMAT0027400_Homo_sapiens_miR-6750-5p
1	hsa-miR-4738-5p_MIMAT0019866_Homo_sapiens_miR-4738-5p
2	hsa-miR-7-5p_MIMAT0000252_Homo_sapiens_miR-7-5p
1	hsa-miR-4762-5p_MIMAT0019910_Homo_sapiens_miR-4762-5p
1	hsa-miR-6851-5p_MIMAT0027602_Homo_sapiens_miR-6851-5p
1	hsa-miR-6509-3p_MIMAT0025475_Homo_sapiens_miR-6509-3p
9	hsa-miR-6852-5p_MIMAT0027604_Homo_sapiens_miR-6852-5p
1	hsa-miR-122-5p_MIMAT0000421_Homo_sapiens_miR-122-5p
1	hsa-miR-3684_MIMAT0018112_Homo_sapiens_miR-3684
1	hsa-miR-7703_MIMAT0030018_Homo_sapiens_miR-7703
7	hsa-miR-10401-3p_MIMAT0041634_Homo_sapiens_miR-10401-3p
1	hsa-miR-6840-5p_MIMAT0027582_Homo_sapiens_miR-6840-5p
1	hsa-miR-6798-5p_MIMAT0027496_Homo_sapiens_miR-6798-5p
1	hsa-miR-6738-5p_MIMAT0027377_Homo_sapiens_miR-6738-5p
1	hsa-miR-1910-5p_MIMAT0007884_Homo_sapiens_miR-1910-5p
1	hsa-miR-4771_MIMAT0019925_Homo_sapiens_miR-4771
11	hsa-miR-6817-5p_MIMAT0027534_Homo_sapiens_miR-6817-5p
1	hsa-miR-19a-5p_MIMAT0004490_Homo_sapiens_miR-19a-5p
1	hsa-miR-1287-5p_MIMAT0005878_Homo_sapiens_miR-1287-5p
1	hsa-miR-1322_MIMAT0005953_Homo_sapiens_miR-1322
1	hsa-miR-4771_MIMAT0019925_Homo_sapiens_miR-4771
1	hsa-miR-3939_MIMAT0018355_Homo_sapiens_miR-3939
1	hsa-miR-6515-5p_MIMAT0025486_Homo_sapiens_miR-6515-5p
1	hsa-miR-3690_MIMAT0018119_Homo_sapiens_miR-3690
